%The Automatic Diatom Identification and Classification (ADIAC)
%project was a pilot study concerning automatic identification of
%diatoms (unicellular algae) on the basis of images. The data was
%donated by Andrei Jalba, a PhD student on the project, which
%finished in the early 2000s. The outlines are extracted from
%thresholded images. Presumably the time series are generated as
%distance to a reference point (the centre being the obvious
%candidate). The data is very sinusoidal
@Relation Adiac
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute att150 numeric
@attribute att151 numeric
@attribute att152 numeric
@attribute att153 numeric
@attribute att154 numeric
@attribute att155 numeric
@attribute att156 numeric
@attribute att157 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att160 numeric
@attribute att161 numeric
@attribute att162 numeric
@attribute att163 numeric
@attribute att164 numeric
@attribute att165 numeric
@attribute att166 numeric
@attribute att167 numeric
@attribute att168 numeric
@attribute att169 numeric
@attribute att170 numeric
@attribute att171 numeric
@attribute att172 numeric
@attribute att173 numeric
@attribute att174 numeric
@attribute att175 numeric
@attribute att176 numeric
@attribute  target {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37}

@data
1.5980065,1.5994389,1.5705294,1.5504735,1.5073709,1.4343414,1.3689859,1.3052935,1.2103053,1.1166533,1.0239758,0.92597745,0.82810675,0.73922239,0.64305122,0.5564315,0.4629485,0.36957542,0.27842598,0.18583002,0.095531978,0.010645835,-0.080855592,-0.16554948,-0.24349159,-0.33543018,-0.42610927,-0.49748567,-0.56685001,-0.64985597,-0.73224739,-0.77780027,-0.84298388,-0.91730416,-0.98797259,-1.0550113,-1.0967752,-1.1470648,-1.1984294,-1.2431884,-1.2816298,-1.3126376,-1.335745,-1.3511225,-1.37692,-1.3879348,-1.3768921,-1.3570987,-1.3295771,-1.2936916,-1.2576962,-1.2304194,-1.1742499,-1.1141994,-1.0720044,-1.0067549,-0.94892859,-0.87017066,-0.79017002,-0.72450665,-0.64283512,-0.59163379,-0.52139211,-0.43062968,-0.35084756,-0.26985588,-0.17363819,-0.089113314,-0.0039202835,0.08545283,0.17517592,0.26705534,0.36297072,0.45238072,0.54911159,0.64981693,0.74624359,0.84565871,0.94633349,1.0456812,1.1463071,1.2423602,1.3439936,1.4417984,1.5406627,1.6240945,1.6695854,1.6852007,1.6966604,1.6974616,1.687431,1.6385253,1.5737029,1.4785844,1.3769022,1.2765966,1.1770306,1.0776997,0.97920335,0.88053308,0.77792639,0.681645,0.5904323,0.49275089,0.40434261,0.30858913,0.2135155,0.12267702,0.037602884,-0.052601582,-0.13750988,-0.22040199,-0.31555828,-0.3946138,-0.44607596,-0.53343935,-0.60286039,-0.67340675,-0.7376065,-0.81902985,-0.88525804,-0.95008305,-1.002563,-1.0630029,-1.1251954,-1.1657686,-1.2042625,-1.2484515,-1.2737702,-1.2843798,-1.2733369,-1.2867387,-1.2918724,-1.2886474,-1.2777387,-1.2581449,-1.2313524,-1.1972685,-1.1563123,-1.1104562,-1.0845237,-1.0258311,-0.96255104,-0.89507051,-0.84781475,-0.77253707,-0.69457342,-0.63199846,-0.55121949,-0.48458675,-0.40867694,-0.32442403,-0.24745378,-0.16365095,-0.076912929,0.0088012471,0.09727377,0.1858962,0.28400462,0.38120517,0.46302539,0.55693306,0.65096988,0.73820038,0.83474166,0.92993859,1.0248605,1.1209061,1.2171752,1.3125298,1.4029198,1.4810428,1.5210116,1.5641545,1.5708545,1.5928905,22
1.7011457,1.670645,1.6188844,1.5468046,1.4754685,1.3912091,1.3058823,1.237313,1.1534138,1.0696899,0.98454362,0.89942283,0.81612699,0.73289041,0.65764526,0.58058678,0.4959768,0.41345876,0.32892097,0.24706519,0.16280184,0.081586059,-0.0023119988,-0.086057688,-0.16614548,-0.24934142,-0.33228549,-0.4134261,-0.49281263,-0.57445393,-0.65557676,-0.73608481,-0.8158479,-0.87416644,-0.95156479,-1.0303996,-1.1065858,-1.1604502,-1.2295479,-1.2946742,-1.3545158,-1.4072008,-1.450255,-1.4811668,-1.49741,-1.4971929,-1.4803294,-1.4488917,-1.418129,-1.3640516,-1.292445,-1.2271407,-1.1665092,-1.093553,-1.0183741,-0.94152705,-0.86336478,-0.78956851,-0.70927509,-0.62818187,-0.54655443,-0.46867309,-0.38598961,-0.3030109,-0.22063207,-0.13962055,-0.055828828,0.028115267,0.11219323,0.19372577,0.27813113,0.3602567,0.44490861,0.52954967,0.6123603,0.67994285,0.76492799,0.8482579,0.93211092,1.0015147,1.0867092,1.1705643,1.2548121,1.3244142,1.4086248,1.4919505,1.575197,1.6492124,1.6699733,1.6537193,1.6409527,1.5633884,1.48028,1.3972312,1.328715,1.2434657,1.1596779,1.0747107,0.990968,0.90589424,0.82155825,0.73769402,0.65458736,0.56998991,0.48524625,0.41824241,0.3336995,0.24923796,0.16756613,0.083407019,-6.2801352E-4,-0.081325625,-0.16490599,-0.24464169,-0.32760501,-0.41027432,-0.49260705,-0.56984744,-0.65101162,-0.73155158,-0.81135143,-0.88879878,-0.96116532,-1.0368788,-1.11067,-1.1819827,-1.2500555,-1.2916983,-1.3495906,-1.4000632,-1.4408844,-1.4690805,-1.4826813,-1.4804312,-1.4625387,-1.4302759,-1.3865095,-1.3337434,-1.2740992,-1.2091497,-1.1403015,-1.068488,-1.0154402,-0.93922692,-0.86160502,-0.78286454,-0.70321696,-0.62788234,-0.5465653,-0.48109807,-0.40168743,-0.31898141,-0.23813234,-0.15621597,-0.07261749,0.011154583,0.092161493,0.17633181,0.25802414,0.34249535,0.42474538,0.50944657,0.59393435,0.67535212,0.76012029,0.84344565,0.92854799,1.0121627,1.09736,1.182578,1.2662915,1.3505713,1.4351601,1.5197372,1.6025179,1.6701904,28
1.722342,1.6953288,1.6569459,1.6063123,1.5118241,1.4141477,1.3136877,1.2132338,1.1129779,1.0150805,0.9204374,0.82782913,0.74044537,0.65783695,0.58566374,0.50090457,0.41718764,0.33458205,0.24821434,0.16388957,0.079398174,-0.0074599386,-0.088978143,-0.17940213,-0.2603247,-0.34648029,-0.42355649,-0.5063605,-0.57123574,-0.65419275,-0.71821198,-0.79647383,-0.86811361,-0.93525724,-0.98426294,-1.0497962,-1.0994418,-1.1552539,-1.1928212,-1.2362527,-1.2726531,-1.2875469,-1.3077428,-1.3192984,-1.3219495,-1.3155979,-1.3144691,-1.29051,-1.2585615,-1.2320283,-1.1978556,-1.1447266,-1.098308,-1.0541981,-0.98666257,-0.92055751,-0.87076114,-0.79337393,-0.72206174,-0.64788024,-0.57123356,-0.49755567,-0.42424921,-0.3379785,-0.25722151,-0.17281654,-0.090731508,-0.0038368939,0.084940919,0.17013163,0.25661681,0.34337874,0.42696204,0.51238129,0.5967314,0.68292012,0.76871537,0.85917197,0.95328453,1.049589,1.1477807,1.2470752,1.3473858,1.4466801,1.54458,1.6404896,1.6871044,1.721671,1.7238679,1.7134701,1.6798872,1.588315,1.4914938,1.4064079,1.307222,1.206705,1.1215175,1.0230931,0.92826064,0.84915147,0.76076708,0.67861604,0.59596669,0.51490203,0.42839293,0.34478212,0.2595117,0.17447044,0.086635379,-0.0010628031,-0.087286142,-0.17511004,-0.2622896,-0.34483022,-0.43265489,-0.51930306,-0.5970839,-0.68053067,-0.75382175,-0.83302315,-0.90984696,-0.98039466,-1.0443064,-1.1107727,-1.1728622,-1.2178313,-1.2684465,-1.3124185,-1.3307194,-1.3598714,-1.3802663,-1.3914636,-1.393054,-1.3851312,-1.3677469,-1.3428814,-1.320102,-1.2775669,-1.2402499,-1.1843822,-1.143313,-1.0777554,-1.0081494,-0.94463328,-0.86823443,-0.79717136,-0.71640035,-0.64075652,-0.55555253,-0.48841473,-0.40268794,-0.31787439,-0.24673137,-0.16012057,-0.069467567,0.017894999,0.10142744,0.1908966,0.27607744,0.36404617,0.45174329,0.53393427,0.61327044,0.69932637,0.7833598,0.87570565,0.96917263,1.0655982,1.1647503,1.2639241,1.3643032,1.4635114,1.5473074,1.6418088,1.6949728,1.7084884,21
1.7262632,1.6598361,1.5731083,1.4962643,1.4090704,1.3324427,1.2457422,1.1588819,1.0733612,0.9871649,0.90084991,0.81537794,0.73020791,0.644131,0.5582142,0.48400556,0.39967097,0.32502409,0.24011882,0.15549505,0.071186839,-0.012764317,-0.095128559,-0.17940387,-0.26197229,-0.3439385,-0.42521292,-0.50568469,-0.58520986,-0.66519254,-0.74480711,-0.82069568,-0.8947401,-0.97170428,-1.0412802,-1.1136107,-1.1685676,-1.2340878,-1.2870839,-1.3411015,-1.3874754,-1.4243427,-1.4398339,-1.4522213,-1.4511086,-1.4363885,-1.4092392,-1.3712164,-1.3240139,-1.2770954,-1.2160573,-1.1503919,-1.0810555,-1.0126142,-0.93950097,-0.86274768,-0.78704112,-0.70926606,-0.62856385,-0.55071017,-0.47171942,-0.38872444,-0.30797898,-0.22664655,-0.14467073,-0.059642655,0.023240939,0.096592061,0.18029251,0.26435118,0.34872865,0.43339216,0.51831439,0.60255123,0.68883362,0.77302229,0.85883021,0.94386843,1.0297814,1.1048867,1.190734,1.2672148,1.3527942,1.4399789,1.5265837,1.6117391,1.6972752,1.7471311,1.7153311,1.6282,1.541246,1.4539081,1.3669245,1.2798763,1.1929186,1.107066,1.0208627,0.94177965,0.85844553,0.77291102,0.6967438,0.61171563,0.53718304,0.45146708,0.36594977,0.28226888,0.19623386,0.12272742,0.03836738,-0.04509198,-0.12922977,-0.21028829,-0.29460295,-0.37413079,-0.44545696,-0.52895273,-0.60863292,-0.67760604,-0.75489182,-0.82137848,-0.90013146,-0.97236045,-1.0474557,-1.1142208,-1.1789996,-1.2419686,-1.2875743,-1.3415367,-1.3878426,-1.4150457,-1.4399951,-1.4522761,-1.4510266,-1.436202,-1.4089583,-1.3708543,-1.3235692,-1.2689252,-1.215513,-1.1498066,-1.0804446,-1.0137745,-0.93884791,-0.86354174,-0.78830082,-0.70857596,-0.63174911,-0.55360939,-0.47100608,-0.39103548,-0.3102259,-0.22869573,-0.14646769,-0.062044865,0.021643645,0.10511794,0.18897985,0.27318646,0.35770021,0.44248979,0.52752853,0.60636142,0.68681822,0.77244136,0.85832607,0.94321296,1.0284051,1.1144395,1.1996077,1.2753798,1.3622581,1.4485665,1.5351311,1.6221583,1.7078382,1.7390266,15
1.7789757,1.7612025,1.7030841,1.610572,1.4920881,1.3686543,1.2447607,1.1209,1.0107618,0.90016819,0.78576565,0.67865903,0.5796521,0.50174727,0.41544408,0.33271169,0.27374039,0.18653645,0.096383854,0.0089316559,-0.074871025,-0.15473158,-0.23034137,-0.30764791,-0.398139,-0.4867682,-0.52266643,-0.59381176,-0.66718573,-0.7251479,-0.77890289,-0.8412151,-0.89845313,-0.95025745,-0.99949046,-1.0361287,-1.0753941,-1.1159948,-1.156217,-1.1692452,-1.174798,-1.1938524,-1.1844768,-1.2100082,-1.2069387,-1.1964545,-1.1786655,-1.153747,-1.1219092,-1.1034656,-1.0544659,-1.0214686,-0.9696026,-0.90750313,-0.85824785,-0.81614391,-0.76389621,-0.71465502,-0.64023978,-0.58188478,-0.50450737,-0.4249196,-0.35290822,-0.28908731,-0.20876726,-0.13596884,-0.048567774,0.031992985,0.11633708,0.19936115,0.27983892,0.35812622,0.4375587,0.48165358,0.57715517,0.67286109,0.77436705,0.88860371,1.0117928,1.1143252,1.2377771,1.3639414,1.4854898,1.6044069,1.7075238,1.7808246,1.825778,1.8009298,1.8003041,1.7963034,1.7557365,1.6613794,1.5447465,1.4230277,1.3040393,1.1829775,1.0626077,0.94805382,0.83544654,0.73153005,0.63254481,0.53783726,0.45869834,0.36860438,0.27670838,0.18601401,0.10069456,0.0074810515,-0.08510412,-0.16447282,-0.25067797,-0.33357022,-0.4231052,-0.51107608,-0.58258934,-0.6685915,-0.7323847,-0.79882951,-0.88299783,-0.9337205,-0.97633227,-1.060667,-1.0937583,-1.1465088,-1.1832832,-1.2327134,-1.2554877,-1.3115673,-1.3234603,-1.3192622,-1.3532749,-1.3159352,-1.3342008,-1.3131467,-1.283926,-1.2786367,-1.2452311,-1.2049126,-1.1774711,-1.1061287,-1.0753986,-1.0298273,-0.96087376,-0.91780136,-0.83978455,-0.78566954,-0.71439277,-0.64501718,-0.56657072,-0.49788895,-0.40451897,-0.32761867,-0.24394066,-0.16076641,-0.075811855,0.014265766,0.10701424,0.19353065,0.27629671,0.36151791,0.45169189,0.5415016,0.63434783,0.7223924,0.82214781,0.92892144,1.0448177,1.165685,1.2856566,1.4088782,1.5079832,1.6236428,1.7136062,1.7663893,1.7836333,1.7586248,2
1.7996215,1.7427012,1.6864861,1.6326717,1.5324102,1.4225861,1.3113219,1.2012383,1.0899248,0.97857591,0.87212147,0.76715563,0.66405946,0.5608749,0.45331905,0.35544341,0.25989255,0.16704351,0.063431625,-0.025124262,-0.11014953,-0.19135718,-0.26891085,-0.3421665,-0.41698388,-0.49722145,-0.55719663,-0.61193205,-0.69939527,-0.73175277,-0.79816957,-0.83732789,-0.89032153,-0.94291918,-0.98408311,-1.0246197,-1.0469912,-1.0965679,-1.1398025,-1.14154,-1.1722282,-1.1957904,-1.2124763,-1.2218999,-1.2238447,-1.2187177,-1.2058302,-1.1863575,-1.1592349,-1.1259717,-1.1096742,-1.0751148,-1.0228435,-0.97593044,-0.9350362,-0.8803773,-0.82537259,-0.77737175,-0.69919845,-0.6392977,-0.58215918,-0.52848751,-0.46253987,-0.38381963,-0.31581693,-0.24359983,-0.14913382,-0.070016876,0.012981145,0.099137798,0.18846572,0.28060416,0.38491887,0.48311099,0.58151559,0.68217562,0.78460388,0.88895651,0.9958908,1.1084691,1.216652,1.3261643,1.4414738,1.5527621,1.6637006,1.7719189,1.8255454,1.8382555,1.8381584,1.7931166,1.7393301,1.6751761,1.5646576,1.4532488,1.3429143,1.2306094,1.1198659,1.008328,0.90011222,0.7956436,0.6899226,0.58253266,0.48299002,0.38546709,0.27856403,0.1850356,0.094439716,-0.0080723882,-0.093621255,-0.17565271,-0.25400259,-0.32803708,-0.4180957,-0.49628997,-0.56902049,-0.64140574,-0.70760878,-0.77573623,-0.82529729,-0.88048482,-0.93894957,-0.99131881,-1.0402051,-1.0823947,-1.1043932,-1.1525512,-1.1944218,-1.1929893,-1.2211075,-1.2419462,-1.2559051,-1.2618527,-1.2608978,-1.2517938,-1.2357744,-1.2122362,-1.1818962,-1.1449264,-1.136738,-1.086891,-1.0311481,-1.0030645,-0.95429744,-0.89623876,-0.8402629,-0.77607163,-0.71329748,-0.66033809,-0.58589986,-0.52555798,-0.44134317,-0.3633084,-0.28413391,-0.20970471,-0.12784067,-0.033326869,0.051099621,0.13865629,0.24238997,0.33459223,0.42960328,0.53732603,0.63595514,0.74572069,0.85387274,0.95889874,1.0632927,1.1720037,1.2828667,1.3910851,1.4975802,1.5714351,1.6738654,1.723658,1.77651,1.8323171,18
1.7490938,1.7266422,1.6593818,1.5595723,1.4572894,1.355191,1.2521086,1.1618543,1.0623266,0.96099447,0.86361629,0.77125252,0.6822731,0.59460683,0.51308733,0.42666515,0.34525309,0.25893825,0.17852219,0.10072776,0.014955194,-0.056353468,-0.14476449,-0.22601973,-0.29855124,-0.38014146,-0.45704897,-0.53657263,-0.61376336,-0.68833824,-0.7618769,-0.82821379,-0.90272609,-0.96360152,-1.0197937,-1.0708258,-1.1280415,-1.1674738,-1.2128704,-1.2517189,-1.2697783,-1.2933672,-1.3089061,-1.3159625,-1.3144644,-1.3045016,-1.2861898,-1.2598613,-1.2391258,-1.1980248,-1.1626619,-1.1089342,-1.0613199,-0.99734696,-0.95330456,-0.88747331,-0.81234188,-0.74342303,-0.67277575,-0.59622721,-0.51859953,-0.43869402,-0.36829941,-0.28953459,-0.2063508,-0.1321796,-0.047875728,0.040192316,0.11224876,0.19604162,0.28162523,0.36479097,0.45010144,0.53410224,0.61702276,0.70207691,0.79080812,0.88618347,0.98481499,1.0714538,1.1728094,1.2758165,1.3788433,1.4818883,1.5800247,1.6672072,1.7165748,1.7210981,1.7221748,1.7166278,1.6792915,1.5832472,1.48164,1.3781739,1.2744982,1.1702425,1.0687978,0.96910268,0.88533347,0.79139009,0.70181212,0.61776419,0.53524952,0.45694068,0.37697569,0.29093151,0.20424102,0.11981903,0.033259676,-0.060963799,-0.14847373,-0.23089697,-0.31919524,-0.40052116,-0.48990082,-0.57036066,-0.65360376,-0.73249086,-0.80557136,-0.8753684,-0.95123414,-1.0154506,-1.0821134,-1.1351264,-1.1940425,-1.247409,-1.2819297,-1.3218581,-1.3367912,-1.3617957,-1.3783335,-1.3858833,-1.3843984,-1.3739504,-1.3546606,-1.3269698,-1.3044426,-1.2613483,-1.2116463,-1.1594689,-1.1065056,-1.0478058,-0.98099629,-0.9072982,-0.83966198,-0.7598495,-0.68604328,-0.60157935,-0.52290224,-0.43642277,-0.37080515,-0.28048051,-0.19477565,-0.10763334,-0.022991924,0.065092402,0.15565292,0.24304985,0.3294477,0.41630554,0.50084857,0.58218241,0.66591153,0.74994007,0.84079691,0.93563784,1.0333416,1.1193874,1.2216641,1.3244648,1.4272957,1.5287896,1.6162934,1.7013695,1.7330503,1.7500588,21
1.3476895,1.2373582,1.1288056,1.0218658,0.93922471,0.84710394,0.75024294,0.65884492,0.56604974,0.47413421,0.38804999,0.30569587,0.21788299,0.13259683,0.061178586,0.008627474,-0.067204557,-0.13955497,-0.20814184,-0.27266914,-0.33282946,-0.40592622,-0.45742743,-0.50825337,-0.56467551,-0.60031396,-0.65207336,-0.69731977,-0.74090331,-0.77749087,-0.80081515,-0.84985214,-0.85269637,-0.87828633,-0.89974802,-0.90898401,-0.90080198,-0.91472292,-0.95122491,-0.95279438,-0.9230698,-0.91165178,-0.91802983,-0.90264491,-0.87496338,-0.86882251,-0.85624492,-0.81139549,-0.76957871,-0.75684191,-0.72099539,-0.6797913,-0.6336464,-0.58244033,-0.52691475,-0.48227291,-0.41668969,-0.36536222,-0.30911447,-0.24826081,-0.18311195,-0.10019339,-0.028259591,0.047130394,0.11324446,0.18041075,0.25486821,0.33354006,0.41796981,0.50462874,0.59225953,0.68515479,0.77912151,0.87498234,0.97713707,1.0800786,1.186769,1.2958349,1.4056943,1.516567,1.6052886,1.6659176,1.7290633,1.7767765,1.7742557,1.7637329,1.6882697,1.5916663,1.4847786,1.3822714,1.2803461,1.1859985,1.0858456,0.98637163,0.88949944,0.78378013,0.69305299,0.59189217,0.48772894,0.3942363,0.29129593,0.19162383,0.098614841,-0.002148842,-0.10216512,-0.1890851,-0.28598336,-0.38264921,-0.4631778,-0.55668251,-0.66480723,-0.75566959,-0.82697649,-0.91289,-0.99623013,-1.0766416,-1.1537171,-1.2269923,-1.2958566,-1.3597669,-1.418092,-1.4701409,-1.5151986,-1.5525564,-1.5815532,-1.6016228,-1.6123428,-1.6134755,-1.6049935,-1.5870821,-1.5601207,-1.5245122,-1.4810307,-1.430413,-1.3733762,-1.3106175,-1.2649206,-1.1916819,-1.1145509,-1.0340142,-0.95049722,-0.86436958,-0.77595139,-0.68551913,-0.59328572,-0.49948336,-0.40429618,-0.30787723,-0.22355994,-0.12458707,-0.024760853,0.075832487,0.16586875,0.26814324,0.36922574,0.46427814,0.56834637,0.66416672,0.76117583,0.86562498,0.9634994,1.0699071,1.1724218,1.2761219,1.3721024,1.4560188,1.5620982,1.6571256,1.7132834,1.7487772,1.7635515,1.7513826,1.6889438,1.6250658,1.545478,1.4314402,36
1.6956215,1.633777,1.5959885,1.5069915,1.4142802,1.3230939,1.2419277,1.1857506,1.1216864,1.0483568,0.96598765,0.89018792,0.8054679,0.71911373,0.63167038,0.55299808,0.46784129,0.37995251,0.29736698,0.21052518,0.12471027,0.04060242,-0.045180667,-0.12581634,-0.20839175,-0.28312817,-0.36344324,-0.44235609,-0.50929141,-0.58886068,-0.66241805,-0.73360572,-0.80205691,-0.87252694,-0.94534894,-1.0098493,-1.0754638,-1.140828,-1.200512,-1.2524082,-1.3004743,-1.3452566,-1.3742176,-1.4003786,-1.4100168,-1.4162851,-1.410752,-1.3885623,-1.3690261,-1.3344116,-1.2932077,-1.248778,-1.1869717,-1.1345442,-1.0755695,-1.0066831,-0.9409046,-0.8632536,-0.78826883,-0.70789045,-0.62584892,-0.54950053,-0.46499407,-0.37918726,-0.2917061,-0.20515693,-0.11530116,-0.026677707,0.064025944,0.14764018,0.2375431,0.32913318,0.419729,0.51077702,0.60385771,0.6912826,0.77954903,0.87146799,0.96431492,1.049036,1.1421693,1.2346894,1.3273708,1.4199171,1.5052473,1.5977612,1.6889711,1.7573296,1.7634941,1.7185021,1.6335231,1.5407485,1.4468639,1.3534409,1.2602959,1.1674801,1.0744009,0.98164091,0.89672952,0.80396388,0.71165452,0.62793279,0.5351819,0.45173017,0.36082098,0.27636527,0.18675051,0.095184793,0.014155251,-0.07664142,-0.16546155,-0.24634031,-0.33581482,-0.42054897,-0.50741758,-0.59098379,-0.6672722,-0.74938546,-0.82969862,-0.90519249,-0.97985824,-1.0486682,-1.1175057,-1.1780256,-1.235943,-1.2839776,-1.3297351,-1.3607493,-1.3877305,-1.3992197,-1.4085043,-1.4023323,-1.3869456,-1.3665593,-1.3355352,-1.2927975,-1.2426195,-1.1896082,-1.1305251,-1.0698905,-1.0049198,-0.93353638,-0.86455518,-0.7901724,-0.71829708,-0.64550415,-0.57396407,-0.50234054,-0.42374248,-0.35093068,-0.26688582,-0.18746556,-0.11354824,-0.031837001,0.048224662,0.13156491,0.2161043,0.29870005,0.37990794,0.46407084,0.54693824,0.63351774,0.71740578,0.79867918,0.88024947,0.96301444,1.0395011,1.1159609,1.1794769,1.2387052,1.3254038,1.409256,1.5023771,1.5950772,1.662465,1.721327,11
1.722719,1.7132868,1.6652518,1.586769,1.4954436,1.4038439,1.3122748,1.2204062,1.1295636,1.0408053,0.95511323,0.87023558,0.78688729,0.70582428,0.62223574,0.54743148,0.46125172,0.37652366,0.28976794,0.20349307,0.12015849,0.032605865,-0.051873726,-0.13560452,-0.21944291,-0.30345381,-0.3854695,-0.46973855,-0.54848823,-0.62566213,-0.70624757,-0.78441824,-0.85688681,-0.93186354,-1.0043478,-1.0729861,-1.1323838,-1.1936716,-1.2498154,-1.2999378,-1.3335013,-1.3678433,-1.3928354,-1.4077793,-1.4118872,-1.4052175,-1.3878039,-1.3702145,-1.3334123,-1.2887083,-1.2370488,-1.1796223,-1.1172469,-1.0653814,-0.99543667,-0.92262167,-0.85316963,-0.7755658,-0.70139942,-0.62038354,-0.54274178,-0.46357461,-0.38307285,-0.29757234,-0.21259133,-0.13173471,-0.050451354,0.028177654,0.11513641,0.18910402,0.27562862,0.36075481,0.44709439,0.53554309,0.6191281,0.70124422,0.78469005,0.86794731,0.95273968,1.0399352,1.1289059,1.2196797,1.3009789,1.3933378,1.4850292,1.5752831,1.6648242,1.712623,1.7127674,1.6991482,1.6261729,1.5358396,1.4450772,1.3536453,1.2623028,1.1765429,1.0923011,1.0056694,0.92147396,0.83725457,0.76431605,0.6804382,0.60447566,0.51996165,0.43247071,0.34803983,0.26117154,0.17553478,0.090094532,0.015059162,-0.072543125,-0.15612826,-0.23885036,-0.32459375,-0.40546321,-0.48953083,-0.5588115,-0.64075727,-0.71756257,-0.79513556,-0.87227317,-0.9473119,-1.0198414,-1.0893813,-1.1502217,-1.2089802,-1.2649046,-1.3146581,-1.3570707,-1.3910722,-1.4154496,-1.4294187,-1.4322551,-1.4240024,-1.4048347,-1.3756881,-1.3374145,-1.3000065,-1.2466048,-1.1875721,-1.1237311,-1.0627371,-0.99128625,-0.91712496,-0.84629316,-0.76764574,-0.69237841,-0.61054659,-0.52943614,-0.44788088,-0.36690268,-0.28439908,-0.19821512,-0.11449478,-0.039804099,0.045791504,0.12309818,0.21016834,0.29414998,0.38183532,0.4682585,0.54460617,0.63089608,0.70612912,0.79088779,0.87345444,0.95759345,1.0442601,1.1318881,1.2225554,1.3029818,1.3948325,1.4868552,1.577656,1.6657382,1.7092532,21
